rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
272,70,1,1,9,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7) | ICOPY_REG_REG(r8,r9)","r1=R89;r2=R24;r3=R90;r4=R88;r5=R29;r6=R86;r7=R4;r8=R87;r9=R27","parseExec",5561
273,70,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SWAP_REG_REG(r4,r5)","r1=R105;c1=int:3;r2=R88;c2=int:256;r3=R106;r4=R107;r5=R86","parseExec",5594
274,70,1,1,8,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | SCOPY_REG_REG(r4,r5) | ICOPY_REG_REG(r6,r7)","r1=R24;r2=R90;c1=int:0;r3=R89;r4=R88;r5=R29;r6=R86;r7=R4","parseExec",5557
275,70,1,1,7,over_3_symbols,"SCOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | BLE_ID_REG_REG(c1,r3,r5)","r1=R88;r2=R29;r3=R86;r4=R4;r5=R87;r6=R27;c1=label@5586","parseExec",5565
276,70,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | ILTE_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=int:1;r1=R3;r2=R11;c2=int:0;c3=label@6929","parseExec",6916
277,70,1,1,4,over_3_symbols,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | ILTE_REG_REG_INT(r1,r2,c2)","c1=int:1;r1=R3;r2=R11;c2=int:0","parseExec",6914
278,70,1,1,8,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4) | CALL_REG_FUNC_REG(r5,c2,r6)","r1=R88;c1=int:256;r2=R106;r3=R107;r4=R86;r5=R104;c2=func@2226296;r6=R105","parseExec",5597
279,70,1,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SCOPY_REG_REG(r5,r6) | BR_ID(c1)","r1=R88;r2=R106;r3=R86;r4=R107;r5=R108;r6=R104;c1=label@5621","parseExec",5610
280,69,1,1,6,over_3_symbols,"ENDLIFE_REG(r1) | IADD_REG_REG_INT(r2,r3,c1) | LINKATTR1_REG_REG_INT(r1,r4,c1) | SETATTRS_REG_INT(r1,c2)","r1=R9;r2=R0;r3=R11;c1=int:1;r4=R18;c2=int:256","stem",469
281,69,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r3) | LOAD_REG_INT(r4,c1)","r1=R1;r2=R15;r3=R9;r4=R3;c1=int:0","stem",486
282,69,2,1,6,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LINKATTR1_REG_REG_INT(r4,r5,c1) | ICOPY_REG_REG(r1,r4) | UNLINK_REG(r4)","r1=R16;r2=R9;r3=R1;r4=R8;r5=R18;c1=int:3","stem",553
283,69,4,1,6,over_3_symbols,"REQ_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r2) | BRF_ID_REG(c1,r1) | ICOPY_REG_REG(r4,r5)","r1=R17;r2=R18;r3=R19;c1=label@14061;r4=R28;r5=R29","_address",14047
284,69,4,1,6,over_3_symbols,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | ICOPY_REG_REG(r3,r4) | BR_ID(c2)","r1=R18;c1=label@14061;r2=R17;r3=R28;r4=R29;c2=label@14074","_address",14051
285,69,1,1,6,over_3_symbols,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | IGT_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R9;r2=R3;c1=int:0;r3=R15;r4=R1;c2=label@595","stem",491
286,69,1,1,5,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LOAD_REG_INT(r3,c1) | IGT_REG_REG_INT(r1,r4,c1)","r1=R15;r2=R9;r3=R3;c1=int:0;r4=R1","stem",489
287,69,2,1,3,candidate,"UNLINK_REG(r1) | UNLINK_REG(r2) | UNLINK_REG(r3) | RET()","r1=R8;r2=R16;r3=R9","stem",564
288,68,5,1,5,over_3_symbols,"CONCAT_REG_REG_STRING(r1,r1,c1) | LOAD_REG_INT(r2,c2) | ITOS_REG(r2) | CONCAT_REG_REG_REG(r3,r1,r2)","r1=R55;c1=string@26552;r2=R54;c2=int:2;r3=R58","benchmark_rexxcps_levelb_noopt",942
289,68,2,2,7,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r1,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r3) | SCOPY_REG_REG(r4,r5)","r1=R10;r2=R16;c1=int:3;r3=R14;c2=int:0;r4=R17;r5=R15","_address",8102
290,68,2,2,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r1,r4) | UNLINK_REG(r1) | UNLINK_REG(r2)","r1=R17;r2=R10;r3=R14;r4=R15","_address",8110
291,68,2,2,6,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | MINATTRS_REG_REG_INT(r2,r4,c2) | LINKATTR1_REG_REG_REG(r1,r2,r4)","r1=R17;r2=R10;r3=R16;c1=int:3;r4=R14;c2=int:0","_address",8100
292,60,3,2,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c1)","r1=R12;c1=int:0;r2=R32;r3=R40;r4=R39","format",274
293,56,4,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | SCOPY_REG_REG(r4,r3) | UNLINK_REG(r3)","r1=R9;r2=R54;r3=R5;c1=int:4;r4=R10","_address",17727
294,56,10,2,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_STRING(r2,c1) | LINKATTR1_REG_REG_INT(r1,r3,c2)","r1=R5;r2=R4;c1=string@1502856;r3=R6;c2=int:10","trace",12397
295,56,10,2,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_STRING(r3,c2)","r1=R5;r2=R6;c1=int:9;r3=R4;c2=string@1502856","trace",12393
296,56,4,1,6,over_3_symbols,"LOAD_REG_STRING(r1,c1) | NULL_REG(r2) | SCOPY_REG_REG(r3,r1) | LOAD_REG_STRING(r4,c2)","r1=R39;c1=string@51304;r2=R87;r3=R88;r4=R84;c2=string@52384","benchmark_rexxcps_levelb_noopt",1515
297,56,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LOAD_REG_STRING(r1,c2) | STRUPPER_REG_REG(r1,r2)","c1=int:1;r1=R0;c2=string@31136;r2=R3","upper",6
298,56,1,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LOAD_REG_STRING(r1,c2)","c1=int:1;r1=R0;c2=string@31136","upper",4
299,56,1,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | LOAD_REG_STRING(r1,c2) | STRUPPER_REG_REG(r1,r2) | RET_REG(r1)","c1=int:1;r1=R0;c2=string@31136;r2=R3","upper",8
300,55,3,1,6,over_3_symbols,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2)","r1=R60;r2=R63;r3=R57;c1=int:3;r4=R0;c2=int:256","benchmark_rexxcps_levelb_noopt",772
301,55,3,1,6,over_3_symbols,"DTOS_REG(r1) | LOAD_REG_INT(r2,c1) | SETTP_REG_INT(r3,c2) | SWAP_REG_REG(r4,r3)","r1=R60;r2=R57;c1=int:3;r3=R0;c2=int:256;r4=R58","benchmark_rexxcps_levelb_noopt",775
302,55,4,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r3,r1) | LOAD_REG_INT(r4,c1)","r1=R59;c1=int:2;r2=R65;r3=R60;r4=R63","benchmark_rexxcps_levelb_noopt",866
303,54,4,1,4,over_3_symbols,"ITOS_REG(r1) | CONCAT_REG_REG_STRING(r1,r1,c1) | LOAD_REG_INT(r2,c2) | ITOS_REG(r2)","r1=R55;c1=string@26552;r2=R54;c2=int:2","benchmark_rexxcps_levelb_noopt",940
