rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
320,2,1,1,6,candidate,"IADD_REG_REG_REG(r1,r2,r3) | ILT_REG_REG_INT(r4,r5,c1)","r1=R21;r2=R6;r3=R1;r4=R53;r5=R31;c1=int:1","_typedformat",634
321,2,1,1,4,candidate,"IADD_REG_REG_REG(r1,r2,r3) | ISUB_REG_REG_REG(r4,r1,r3)","r1=R7;r2=R31;r3=R39;r4=R60","_typedformat",1087
322,2,1,1,5,candidate,"IADD_REG_REG_REG(r1,r2,r3) | STRCHAR_REG_REG_REG(r4,r5,r1)","r1=R40;r2=R31;r3=R2;r4=R35;r5=R20","_typedformat",726
323,2,1,1,4,candidate,"ICOPY_REG_REG(r1,r2) | BRTF_ID_ID_REG(c1,c2,r1)","r1=R48;r2=R70;c1=label@435;c2=label@620","_typedformat",422
324,2,1,1,4,candidate,"ICOPY_REG_REG(r1,r2) | BRT_ID_REG(c1,r3)","r1=R31;r2=R6;c1=label@429;r3=R68","_typedformat",416
325,2,1,1,4,candidate,"ICOPY_REG_REG(r1,r2) | IADD_REG_REG_REG(r2,r3,r4)","r1=R39;r2=R60;r3=R31;r4=R2","_typedformat",952
326,2,1,1,3,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1)","r1=R6;r2=R33;r3=R31","_typedformat",413
327,2,1,1,5,candidate,"ICOPY_REG_REG(r1,r2) | IGTE_REG_REG_INT(r3,r4,c1)","r1=R21;r2=R37;r3=R50;r4=R35;c1=int:53","_typedformat",760
328,2,1,1,4,candidate,"ICOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1)","r1=R37;r2=R40;r3=R51;c1=string@28856","_typedformat",734
329,2,1,1,4,candidate,"ICOPY_REG_REG(r1,r2) | NOT_REG_REG(r3,r4)","r1=R21;r2=R31;r3=R60;r4=R64","_typedformat",1078
330,2,1,1,6,candidate,"ICOPY_REG_REG(r1,r2) | NULLN_REG_REG_REG_REG(r3,r4,r5,r6)","r1=R17;r2=R69;r3=R1;r4=R19;r5=R21;r6=R29","_typedformat",27
331,2,1,1,5,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRTF_ID_ID_REG(c2,c3,r1)","r1=R45;r2=R2;c1=int:0;c2=label@76;c3=label@79","_typedformat",62
332,2,1,1,4,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | IGT_REG_REG_REG(r1,r4,r1)","r1=R60;r2=R7;r3=R39;r4=R31","_typedformat",1091
333,2,1,1,5,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | LOAD_REG_STRING(r4,c1)","r1=R1;r2=R24;r3=R40;r4=R0;c1=string@28856","_typedformat",392
334,2,1,1,5,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | NOT_REG_REG(r4,r5)","r1=R4;r2=R21;r3=R31;r4=R53;r5=R66","_typedformat",685
