rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
48,326200,1,1,7,candidate,"CONCAT_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r1) | PARSEWORDS3_REG_REG_REG_REG(r5,r6,r7,r4)","r1=R19;r2=R21;r3=R28;r4=R15;r5=R12;r6=R13;r7=R14","benchmark_rexxcps_levelb_opt",1274
49,326200,1,1,5,candidate,"CONCAT_REG_REG_STRING(r1,r1,c1) | CONCAT_REG_REG_REG(r2,r1,r3) | SCOPY_REG_REG(r4,r2)","r1=R21;c1=string@80584;r2=R19;r3=R28;r4=R15","benchmark_rexxcps_levelb_opt",1270
50,326200,1,1,4,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | APPEND_REG_REG(r1,r3) | CONCAT_REG_REG_STRING(r1,r1,c1)","r1=R21;r2=R26;c1=string@80584;r3=R27","benchmark_rexxcps_levelb_opt",1263
51,326200,1,1,6,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | LOAD_REG_STRING(r3,c2) | STEMSET_REG_REG_REG(r4,r1,r3)","r1=R67;c1=string@34184;r2=R51;r3=R68;c2=string@34312;r4=R4","benchmark_rexxcps_levelb_opt",490
52,326200,1,1,6,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | STEMGET_REG_REG_REG(r3,r4,r1) | REQ_REG_REG_REG(r1,r5,r3)","r1=R68;c1=string@34184;r2=R51;r3=R65;r4=R4;r5=R41","benchmark_rexxcps_levelb_opt",503
53,326200,1,1,6,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | STEMRESET_REG_REG(r3,r1) | REQ_REG_REG_STRING(r1,r4,c2)","r1=R82;c1=string@41448;r2=R51;r3=R8;r4=R41;c2=string@37440","benchmark_rexxcps_levelb_opt",657
54,326200,1,1,5,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | LOAD_REG_STRING(r3,c2)","r1=R51;r2=R67;c1=string@34184;r3=R68;c2=string@34312","benchmark_rexxcps_levelb_opt",488
55,326200,1,1,4,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | STEMRESET_REG_REG(r3,r2)","r1=R51;r2=R82;c1=string@41448;r3=R8","benchmark_rexxcps_levelb_opt",655
56,326200,1,1,6,candidate,"LOAD_REG_DECIMAL(r1,c1) | DGT_REG_REG_REG(r2,r3,r4) | BRT_ID_REG(c2,r2)","r1=R66;c1=decimal@35552;r2=R67;r3=R25;r4=R68;c2=label@655","benchmark_rexxcps_levelb_opt",526
57,326200,1,1,6,candidate,"LOAD_REG_DECIMAL(r1,c1) | LOAD_REG_DECIMAL(r2,c2) | DGT_REG_REG_REG(r3,r4,r1)","r1=R68;c1=decimal@35864;r2=R66;c2=decimal@35552;r3=R67;r4=R25","benchmark_rexxcps_levelb_opt",523
