rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
91,170500,1,1,3,candidate,"IMOD_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r1,r1,c1)","r1=R22;r2=R9;c1=int:16","benchmark_base64_roundtrip_noopt",933
92,170500,1,1,3,candidate,"IMULT_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_REG(r1,r1,r2)","r1=R22;c1=int:64;r2=R14","benchmark_base64_roundtrip_noopt",979
93,2551,3,1,4,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1)","r1=R8;r2=R9;r3=R5;c1=label@94","benchmark_base64_roundtrip_noopt",69
94,2548,3,1,2,candidate,"INC_REG(r1) | BR_ID(c1)","r1=R9;c1=label@69","benchmark_base64_roundtrip_noopt",90
95,1503,3,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c3) | LOAD_REG_INT(r1,c4)","c1=int:18;c2=int:1;c3=int:2;r1=R1;c4=int:0","binary",0
96,1502,2,1,2,candidate,"BLEN_REG_REG(r1,r2) | RET_REG(r1)","r1=R1;r2=R3","binary",7
97,1024,1,1,4,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_REG(r4,r4,r1)","r1=R3;r2=R7;r3=R2;r4=R0","benchmark_base64_roundtrip_noopt",1083
98,1024,1,1,5,candidate,"BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r2,r3,r4)","c1=label@1095;r1=R4;r2=R3;r3=R7;r4=R2","benchmark_base64_roundtrip_noopt",1080
99,1024,1,1,5,candidate,"BRT_ID_REG(c1,r1) | IMULT_REG_REG_INT(r2,r3,c2)","c1=label@312;r1=R1;r2=R5;r3=R3;c2=int:31","benchmark_base64_roundtrip_noopt",289
100,1024,1,1,3,candidate,"BSETU8_REG_REG_REG(r1,r2,r3) | INC_REG(r2)","r1=R0;r2=R3;r3=R5","benchmark_base64_roundtrip_noopt",304
