rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
111,14760,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | BR_ID(c5)","r1=R9;r2=R55;c1=int:19;c2=int:6;r3=R11;r4=R56;c3=int:1;r5=R6;c4=int:0;c5=label@3177","benchmark_awfy_richards_opt",3123
112,14760,1,1,10,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r4,c2,c3,r5,r6,c4)","r1=R9;r2=R10;c1=label@3138;r3=R8;r4=R55;c2=int:23;c3=int:6;r5=R11;r6=R56;c4=int:1","benchmark_awfy_richards_opt",3091
113,14759,1,1,10,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | ISETUNLINKN_REG_REG_REG(r4,r6,r2)","c1=label@2891;r1=R5;r2=R15;r3=R11;c2=int:20;c3=int:6;r4=R14;r5=R3;c4=int:1;r6=R24","benchmark_awfy_richards_opt",2821
114,14759,1,1,10,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r2,r5,c1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r4,c2,c3,r1,r7,c1)","r1=R13;r2=R16;c1=int:1;r3=R14;r4=R11;c2=int:24;c3=int:6;r5=R3;r6=R17;r7=R8","benchmark_awfy_richards_opt",2844
115,14759,1,1,10,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r4,c1,c2,r5,r6,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r7,r5,c3,r1)","r1=R14;r2=R24;r3=R15;r4=R11;c1=int:23;c2=int:6;r5=R16;r6=R3;c3=int:1;r7=R13","benchmark_awfy_richards_opt",2832
116,14759,1,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGT_REG_REG_REG(r5,r6,r3) | UNLINKN_REG_REG(r3,r1)","r1=R17;r2=R11;c1=int:24;c2=int:6;r3=R13;r4=R8;c3=int:1;r5=R12;r6=R16","benchmark_awfy_richards_opt",2857
117,14759,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ISETUNLINKN_REG_REG_REG(r3,r5,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r2,c4,c2,r6,r4,c3)","r1=R15;r2=R11;c1=int:20;c2=int:6;r3=R14;r4=R3;c3=int:1;r5=R24;c4=int:23;r6=R16","benchmark_awfy_richards_opt",2824
118,14759,1,1,11,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r2,c1,c2,r6,r7,c3) | IGT_REG_REG_REG(r8,r3,r6)","r1=R14;r2=R11;c1=int:24;c2=int:6;r3=R16;r4=R3;c3=int:1;r5=R17;r6=R13;r7=R8;r8=R12","benchmark_awfy_richards_opt",2849
119,12327,2,1,4,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1)","r1=R9;r2=R10;c1=int:0;c2=label@3281","benchmark_awfy_richards_opt",3205
120,12327,2,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IEQ_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R10;r2=R15;c1=int:8;r3=R9;c2=int:0","benchmark_awfy_richards_opt",3201
121,11627,1,1,7,candidate,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3)","r1=R29;r2=R1;c1=int:0;c2=label@3758;r3=R19;r4=R34;c3=int:16","benchmark_awfy_richards_opt",3666
122,11627,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IEQ_REG_REG_INT(r5,r3,c3)","r1=R19;r2=R34;c1=int:16;r3=R24;r4=R1;c2=int:0;r5=R17;c3=int:1","benchmark_awfy_richards_opt",3673
123,11627,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IEQ_REG_REG_INT(r4,r1,c2) | UNLINKN_REG_REG(r1,r2)","r1=R24;r2=R19;r3=R1;c1=int:0;r4=R17;c2=int:1","benchmark_awfy_richards_opt",3677
124,10467,2,1,7,candidate,"ICOPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | MINLINKATTR1_REG_REG_REG_INT(r5,r3,r2,c2)","r1=R1;r2=R11;r3=R6;r4=R9;c1=int:17;r5=R7;c2=int:0","benchmark_awfy_richards_opt",2072
125,10127,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | INE_REG_REG_INT(r2,r1,c1)","r1=R0;r2=R7;r3=R6;c1=int:0","benchmark_awfy_richards_opt",2084
126,10127,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ISETUNLINKN_REG_REG_REG(r1,r4,r2) | RET_REG(r5)","r1=R7;r2=R6;r3=R1;c1=int:0;r4=R10;r5=R11","benchmark_awfy_richards_opt",2119
