vm	comparison	loop_count	padding_cells	process_run	pair	order	current_us	alternative_us	delta_us	delta_per_call_ns	alternative_delta_percent
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	1	1	alternative-first	4274	3897	-377	-0.377000	-8.820777
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	1	2	current-first	4326	3935	-391	-0.391000	-9.038373
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	1	3	alternative-first	4387	3999	-388	-0.388000	-8.844313
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	1	4	current-first	4456	3942	-514	-0.514000	-11.535009
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	2	1	alternative-first	4354	3844	-510	-0.510000	-11.713367
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	2	2	current-first	4356	3886	-470	-0.470000	-10.789715
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	2	3	alternative-first	4354	3868	-486	-0.486000	-11.162150
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	2	4	current-first	4350	3879	-471	-0.471000	-10.827586
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	2	1	alternative-first	4020	3507	-513	-0.513000	-12.761194
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	2	2	current-first	4105	3545	-560	-0.560000	-13.641900
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	2	3	alternative-first	3998	3472	-526	-0.526000	-13.156578
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	2	4	current-first	4109	3518	-591	-0.591000	-14.383062
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	3	1	alternative-first	4036	3606	-430	-0.430000	-10.654113
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	3	2	current-first	4035	3637	-398	-0.398000	-9.863693
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	3	3	alternative-first	4011	3664	-347	-0.347000	-8.651209
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	3	4	current-first	3965	3542	-423	-0.423000	-10.668348
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	3	1	alternative-first	4346	3859	-487	-0.487000	-11.205706
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	3	2	current-first	4278	3917	-361	-0.361000	-8.438523
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	3	3	alternative-first	4255	3903	-352	-0.352000	-8.272620
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	14	3	4	current-first	4299	3860	-439	-0.439000	-10.211677
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	1	1	alternative-first	4280	3905	-375	-0.375000	-8.761682
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	1	2	current-first	4271	3901	-370	-0.370000	-8.663077
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	1	3	alternative-first	4327	3916	-411	-0.411000	-9.498498
rxbvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	1	4	current-first	4232	3905	-327	-0.327000	-7.726843
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	1	1	alternative-first	3957	3558	-399	-0.399000	-10.083397
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	1	2	current-first	4014	3600	-414	-0.414000	-10.313901
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	1	3	alternative-first	3961	3546	-415	-0.415000	-10.477152
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	1	4	current-first	3999	3629	-370	-0.370000	-9.252313
rxvm	FMULTICOPY_CHAIN_SELECTION	1000000	1	2	1	alternative-first	3893	3606	-287	-0.287000	-7.372207
