rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,218896,6,1,8,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r1,c3,c4,r3,r4,c2)","r1=R12;c1=int:18;c2=int:1;r2=R8;c3=int:21;c4=int:6;r3=R7;r4=R13","benchmark_awfy_richards_noopt",700
270,1,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4)","r1=R1;c1=int:0;r2=R7;c2=int:1;r3=R4;r4=R3","benchmark_awfy_richards_noopt",61
271,1,1,1,4,candidate,"MINLINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | IGETUNLINK_REG_REG(r3,r1)","r1=R6;r2=R0;c1=int:1;r3=R3","benchmark_awfy_richards_noopt",30
272,1,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | BRTPANDT_ID_REG_INT(c3,r1,c4) | COPY_REG_REG(r2,r1)","c1=int:18;c2=int:1;c3=label@13;r1=R13;c4=int:512;r2=R0","benchmark_awfy_richards_noopt",0
273,1,1,1,4,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c1) | RET_REG(r1)","c1=int:18;c2=int:1;r1=R1;r2=R3","benchmark_awfy_richards_noopt",678
274,1,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | ISETATTR1_REG_INT_REG(r2,c4,r1)","c1=int:18;c2=int:1;r1=R2;r2=R13;c3=int:22;c4=int:2","benchmark_awfy_richards_noopt",2771
275,1,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | RET_REG(r1)","c1=int:18;c2=int:1;r1=R1;r2=R3;c3=int:6","benchmark_awfy_richards_noopt",690
276,1,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r1,c2) | ISUB_REG_INT_REG(r2,c3,r1)","c1=int:18;c2=int:1;r1=R2;r2=R3;c3=int:0","benchmark_awfy_richards_noopt",188
277,1,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r1,c3) | LOAD_REG_INT(r2,c3)","c1=int:18;c2=int:1;r1=R4;c3=int:0;r2=R5","benchmark_awfy_richards_noopt",274
278,1,1,1,3,candidate,"SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R11;c1=string@13576;c2=int:0","benchmark_awfy_richards_noopt",164
279,1,1,1,5,candidate,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | NUMSCI_INT_INT_INT(c3,c4,c4)","r1=R0;c1=int:28;c2=string@8;c3=int:18;c4=int:1","benchmark_awfy_richards_noopt",182
280,1,1,1,5,candidate,"SETOBJTYPE_REG_STRING(r1,c1) | NUMSCI_INT_INT_INT(c2,c3,c3) | LOAD_REG_INT(r2,c3)","r1=R0;c1=string@8;c2=int:18;c3=int:1;r2=R2","benchmark_awfy_richards_noopt",185
281,1,1,1,3,candidate,"STOI_REG(r1) | IGETUNLINK_REG_REG(r2,r1) | ILT_REG_REG_INT(r1,r2,c1)","r1=R6;r2=R3;c1=int:1","benchmark_awfy_richards_noopt",34
282,1,1,1,5,candidate,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r1,c1) | CALL1_REG_FUNC_REG(r3,c2,r1)","r1=R17;r2=R3;c1=int:256;r3=R7;c2=func@28800","benchmark_awfy_richards_noopt",625
283,1,1,1,5,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | SETTP_REG_INT(r3,c2)","r1=R3;c1=label@1978;r2=R2;r3=R9;c2=int:256","benchmark_awfy_richards_noopt",1964
284,1,1,1,5,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r3,r1,c2)","r1=R2;r2=R13;c1=int:2;r3=R1;c2=int:0","benchmark_awfy_richards_noopt",2783
